"","Sample","Strain","Species","Start.date","Extraction.date","Treatment","Days.on.plate","Ct","block"
"210","FBL18","JU2776","tribulationis","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,35.576,5
"211","FBL19","JU4050","sp.62","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"212","FBL20","JU4050","sp.62","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"213","FBL21","JU4050","sp.62","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"214","FBL22","JU2203","sp.8","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,32.888,5
"215","FBL23","JU2203","sp.8","2/12/2021 12:30",NA,"virus",NA,NA,5
"216","FBL24","JU2203","sp.8","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,34.7572,5
"217","FBL25","JU1331","doughertyi","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,17.0771,5
"218","FBL26","JU1331","doughertyi","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,16.9159,5
"219","FBL27","JU1331","doughertyi","2/12/2021 12:30","2/18/2021 8:45","virus",5.84375,19.2684,5
"220","FBL30","JU2867","sp.24","2/12/2021 12:30","2/20/2021 8:00","virus",7.8125,Inf,5
"221","FBL31","JU4093","sp.65","2/12/2021 12:30","2/18/2021 8:45","virus",5.84375,14.0773,5
"222","FBL32","JU4093","sp.65","2/12/2021 12:30","2/18/2021 8:45","virus",5.84375,14.4155,5
"223","FBL33","JU4093","sp.65","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,28.0386,5
"224","FBL34","JU1865","macrosperma","2/12/2021 12:30","2/16/2021 10:20","virus",3.909722222,Inf,5
"225","FBL35","JU1865","macrosperma","2/12/2021 12:30","2/16/2021 10:20","virus",3.909722222,33.2985,5
"226","FBL36","JU1865","macrosperma","2/12/2021 12:30","2/16/2021 10:20","virus",3.909722222,Inf,5
"227","FBL37","JU1833","nouraguensis","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,Inf,5
"228","FBL38","JU1833","nouraguensis","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,Inf,5
"229","FBL39","JU1833","nouraguensis","2/12/2021 12:30","2/16/2021 10:20","virus",3.909722222,Inf,5
"230","FBL40","JU2775","tribulationis","2/12/2021 12:30","2/17/2021 14:00","virus",5.0625,Inf,5
"231","FBL41","JU2775","tribulationis","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
"232","FBL42","JU2775","tribulationis","2/12/2021 12:30","2/16/2021 21:00","virus",4.354166667,Inf,5
"233","FBL43","JU4092","sp.65","2/12/2021 12:30","2/17/2021 10:00","virus",4.895833333,Inf,5
